HEB Way Factor,HEB Way Competency,WGO Pillar,WGO Focus Area,Partner SORM Readiness Abilities ,All,Grocery,GM/Drug,Beauty,Healthy Living,Beer and Wine,TXBY,Mia's,Optical,Cooking Conn.,Showtime,Market,Seafood,Bakery,Produce,Floral,Deli,Restaurant,CCO,Curbside,MIC,Shelf Edge,Rate the Partner's  level of Effectiveness in the Readiness Ability
All,All,All,Role Model the H-E-B Way ,"Describe ""The HEB Experience"" (WGO Pillars and Focus Areas). 
Demonstrate understanding of the focus areas under A+ Leadership, A+ Standards, and A+ Results.
Explain how The HEB Experience and A+ Standards support The HEB Bold Promise. ",x,,,,,,,,,,,,,,,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Results,Efficiency and Effectiveness,"Explain how to properly fill out an incident report, and also demonstrate how teach other Partners to observe and collect key information. ",,,,,,,,,,,,,,,,,,,,,x,,
Heart for People,Build Talent,A+ Leadership,Coach and Develop Great People,"Demostrate the ability to lead a Grocery Night Crew, Cross-Functional Team, or Dairy Team for a minimum of 3 months. (Or have 3 months of leading a team on a project or in another role.) ",,x,,,,,,,,,,,,,,,,,,,,,
Heart for People,Communicate and Influence,A+ Leadership,Coach and Develop Great People,Demonstrate the ability to observe and appropriately deliver performance feedback to Partners. ,x,,,,,,,,,,,,,,,,,,,,,,
All,All,A+ Leadership,Role Model the H-E-B Way,"Discuss the HEB Way Competencies and provide examples of how you role model the following behaviors:
Head for Business - Expertise and Technical Knowledge and Decision Making
Passion for Results - Adaptability and Drive for Results
Heart for People - Communicate and Influence and Build Talent and Build Relationships. ",x,,,,,,,,,,,,,,,,,,,,,,
Passion for Results,Drive for Results,A+ Leadership, ,"Describe the WGO Daily Walk, assess how it is being utilized in your department, and how you coach other Partners on the standards.",,x,x,x,,,,,,,,x,x,x,x,x,x,x,x,x,,,
Passion for Results,Drive for Results,A+ Results, ,Explain your role in effectively putting the store to bed.,,,,,,,,,,,,,,,,,,,,,x,,
Head for Business,Strategic Planning,A+ Results, ,Discuss the key focus areas for their department and how you explain their importance to other Partners.  ,x,,,,,,,,,,,,,,,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Leadership, ,"Discuss the ORT (Operations Review Team) process.
Desribe key focus areas for your department that affect ORT scores and how you coach ORT improvement.  ",x,,,,,,,,,,,,,,,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Results, ,"Demonstrate an understanding of the key metrics of success in your department (financials, execution scorecards, etc..) Describe how you impact these areas.   ",x,,,,,,,,,,,,,,,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Results, ,"Identify the 3 top commodities in Mia's Mirror, Company-wide. Identify the 3 to 5 top commodities in your Mia's location and explain what drives them.                                                                           Describe how your store is different from other Mia's locations.",,,,,,,,x,,,,,,,,,,,,,,,
Passion for Results,Innovation,A+ Results,Efficiency and Effectiveness,Detail two changes or improvements you have made to be more effective and efficient in your work. ,x,,,,,,,,,,,,,,,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Results,Efficiency and Effectiveness,Demonstrate and understanding of what shrink is and the impact it has on the business. Provide 3 examples of how to manage and reduce shrink. ,x,,,,,,,,,,,,,,,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Results,Efficiency and Effectiveness,Demonstrate an understanding of the W.I.S.E. principles and explain how to apply them in your department. ,x,,,,,,,,,,,,,,,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Results,Efficiency and Effectiveness,"Explain how labor and/or productivity is measured in your department, including how you can help the department achieve its goals. ",x,,,,,,,,,,,,,,,,,,,,,,
Passion for Results,Drive for Results,A+ Results,Efficiency and Effectiveness,"Explain the process for ensuring live-goods invoices have been paid and accounted for properly, including how executing this need helps your department. ",,,,,,,X,,,,,,,,,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Results,Efficiency and Effectiveness,Explain the credit card affidavit SOP and why it is necessary to execute.,,,,,,x,,,,x,x,,,,,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Results,Efficiency and Effectiveness,Explain the factors that affect right-lane execution and Customer throughput.,,,,,,,,,,,,,,,,,,,x,,,,
Head for Business,Expertise and Technical Knowledge,A+ Results,Efficiency and Effectiveness,"Demonstrate the ability to confidently perform the following in FAST and FASTpick on the iPod: 
- Pick a single order, batch pick and put away.
- Retrieve an order. Abandon items at the curb.
- Add an item to an order that was already picked.
- Check status of daily orders. Monitor whether the order is not touched, being picked, picked or pickup ready.
- Make Customer calls about substitutions/shorts and resolve the call.
- Check Metrics to find APV, APQV, TP, TQP, # of orders, etc.
- Audit the Curbside department for staging/left behind opportunities.",,,,,,,,,,,,,,,,,,,,x,,,
Head for Business,Expertise and Technical Knowledge,A+ Results,Efficiency and Effectiveness,"Demonstrate use of the FAST Web to do the following: 
- Navigate to FAST Web.
- Locate a deli production list.
- Make a sign/package batch with FAST Web.",,,,,,,,,,,,,,,,,,,,x,,,
Head for Business,Expertise and Technical Knowledge,A+ Results,Efficiency and Effectiveness,"Demonstrate use of the Unata tool to do the following:
- Access Customers’ information, history, order, and new vs. old total.
- Access your stores platform setting and see where your caps are set.",,,,,,,,,,,,,,,,,,,,x,,,
Head for Business,Expertise and Technical Knowledge,A+ Results,Efficiency and Effectiveness,Explain the process for planning and scheduling category refresh and NIP activities for the week. ,,,,,,,,,,,,,,,,,,,,,,x,
Head for Business,Expertise and Technical Knowledge,A+ Results,"Facility, Equip., Tools","Demonstrate how to receive an HEB truck, utilizing the HEB menu screen and HEB equipment. ",,,,,,,,,,,,,,,,,,,,,x,,
